"TOA5","S6100","CR1000","E11654","CR1000.Std.31.02","CPU:S6102_ZB_P1.CR1","16643","lufft_ZB"
"TIMESTAMP","RECORD","Air_Temperature_Avg","Rel_Humidity_Avg","Rel_Air_Pressure_Avg","Wind_speed_Avg_","Wind_dir_vct","Wet_bulb_Temp_Avg","Prec_type_Tot","Prec_intensity_Avg","Dew_point_Avg","Battery_Vdc","Status_total_Tot"
"TS","RN","","","","","Deg","","","","","",""
"","","Avg","Avg","Avg","WVc:","WVc:","Avg","Tot","Avg","Avg","Smp","Tot"
"2018-12-19 21:55:00",106,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.47,0
"2018-12-19 22:00:00",107,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 22:05:00",108,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 22:10:00",109,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 22:15:00",110,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 22:20:00",111,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 22:25:00",112,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 22:30:00",113,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 22:35:00",114,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 22:40:00",115,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 22:45:00",116,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 22:50:00",117,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 22:55:00",118,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 23:00:00",119,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 23:05:00",120,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 23:10:00",121,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 23:15:00",122,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 23:20:00",123,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 23:25:00",124,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 23:30:00",125,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 23:35:00",126,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
