"TOA5","S6100","CR1000","E11654","CR1000.Std.31.02","CPU:S6102_ZB_P1.CR1","16643","druksonde_ZB_P1"
"TIMESTAMP","RECORD","Druk_Avg(1)","Druk_Avg(2)"
"TS","RN","",""
"","","Avg","Avg"
"2018-12-30 09:00:00",259,"NAN",0
"2018-12-30 10:00:00",260,"NAN",0
"2018-12-30 11:00:00",261,"NAN",0
"2018-12-30 12:00:00",262,"NAN",0
"2018-12-30 13:00:00",263,"NAN",0
"2018-12-30 14:00:00",264,"NAN",0
"2018-12-30 15:00:00",265,"NAN",0
"2018-12-30 16:00:00",266,"NAN",0
"2018-12-30 17:00:00",267,"NAN",0
"2018-12-30 18:00:00",268,"NAN",0
"2018-12-30 19:00:00",269,"NAN",0
"2018-12-30 20:00:00",270,"NAN",0
"2018-12-30 21:00:00",271,"NAN",0
"2018-12-30 22:00:00",272,"NAN",0
"2018-12-30 23:00:00",273,"NAN",0
"2018-12-31 00:00:00",274,"NAN",0
"2018-12-31 01:00:00",275,"NAN",0
"2018-12-31 02:00:00",276,"NAN",0
"2018-12-31 03:00:00",277,"NAN",0
"2018-12-31 04:00:00",278,"NAN",0
"2018-12-31 05:00:00",279,"NAN",0
"2018-12-31 06:00:00",280,"NAN",0
"2018-12-31 07:00:00",281,"NAN",0
"2018-12-31 08:00:00",282,"NAN",0
"2018-12-31 09:00:00",283,"NAN",0
"2018-12-31 10:00:00",284,"NAN",0
"2018-12-31 11:00:00",285,"NAN",0
"2018-12-31 12:00:00",286,"NAN",0
"2018-12-31 13:00:00",287,"NAN",0
"2018-12-31 14:00:00",288,"NAN",0
"2018-12-31 15:00:00",289,"NAN",0
"2018-12-31 16:00:00",290,"NAN",0
"2018-12-31 17:00:00",291,"NAN",0
"2018-12-31 18:00:00",292,"NAN",0
"2018-12-31 19:00:00",293,"NAN",0
"2018-12-31 20:00:00",294,"NAN",0
"2018-12-31 21:00:00",295,"NAN",0
"2018-12-31 22:00:00",296,"NAN",0
"2018-12-31 23:00:00",297,"NAN",0
"2019-01-01 00:00:00",298,"NAN",0
"2019-01-01 01:00:00",299,"NAN",0
"2019-01-01 02:00:00",300,"NAN",0
"2019-01-01 03:00:00",301,"NAN",0
"2019-01-01 04:00:00",302,"NAN",0
"2019-01-01 05:00:00",303,"NAN",0
"2019-01-01 06:00:00",304,"NAN",0
"2019-01-01 07:00:00",305,"NAN",0
"2019-01-01 08:00:00",306,"NAN",0
"2019-01-01 09:00:00",307,"NAN",0
"2019-01-01 10:00:00",308,"NAN",0
"2019-01-01 11:00:00",309,"NAN",0
