"TOA5","S6111","CR2xx","27360","CR200X.Std.04","Sxxxx V1_09 test NPHK_P2_DYL_P2.CR2","56011","DYL_test_p2b_2"
"TIMESTAMP","RECORD","Perm_3_Avg","Period_3_Avg","VR_3_Avg"
"TS","RN","","",""
"","","Avg","Avg","Avg"
"2018-01-26 04:00:00",1333,36.40445,2.056,1.50475
"2018-01-26 05:00:00",1334,36.40433,2.056,1.50525
"2018-01-26 06:00:00",1335,36.40447,2.056,1.5047
"2018-01-26 07:00:00",1336,36.40435,2.056,1.505317
"2018-01-26 08:00:00",1337,36.40451,2.056,1.504483
"2018-01-26 09:00:00",1338,36.40447,2.056,1.504817
"2018-01-26 10:00:00",1339,36.40453,2.056,1.504333
"2018-01-26 11:00:00",1340,36.40451,2.056,1.504417
"2018-01-26 12:00:00",1341,36.40455,2.056,1.504167
"2018-01-26 13:00:00",1342,36.40447,2.056,1.5048
"2018-01-26 14:00:00",1343,36.40448,2.056,1.504517
"2018-01-26 15:00:00",1344,36.40462,2.056,1.504033
"2018-01-26 16:00:00",1345,36.40437,2.056,1.505183
"2018-01-26 17:00:00",1346,36.40448,2.056,1.5045
"2018-01-26 18:00:00",1347,36.40443,2.056,1.504917
"2018-01-26 19:00:00",1348,36.40427,2.056,1.505667
"2018-01-26 20:00:00",1349,36.3815,2.055633,1.505317
"2018-01-26 21:00:00",1350,36.33572,2.0549,1.50605
"2018-01-26 22:00:00",1351,36.33587,2.0549,1.505483
"2018-01-26 23:00:00",1352,36.3358,2.0549,1.505767
"2018-01-27 00:00:00",1353,36.33588,2.0549,1.50535
"2018-01-27 01:00:00",1354,36.33585,2.0549,1.505483
"2018-01-27 02:00:00",1355,36.33592,2.0549,1.505117
"2018-01-27 03:00:00",1356,36.33593,2.0549,1.5051
"2018-01-27 04:00:00",1357,36.33605,2.0549,1.504633
"2018-01-27 05:00:00",1358,36.33595,2.0549,1.50505
"2018-01-27 06:00:00",1359,36.33599,2.0549,1.504983
"2018-01-27 07:00:00",1360,36.336,2.0549,1.504917
"2018-01-27 08:00:00",1361,36.33596,2.0549,1.50495
"2018-01-27 09:00:00",1362,36.33602,2.0549,1.50485
"2018-01-27 10:00:00",1363,36.3358,2.0549,1.505667
"2018-01-27 11:00:00",1364,36.33595,2.0549,1.505
"2018-01-27 12:00:00",1365,36.33583,2.0549,1.505583
"2018-01-27 13:00:00",1366,36.33568,2.0549,1.5063
"2018-01-27 14:00:00",1367,36.33569,2.0549,1.50625
"2018-01-27 15:00:00",1368,36.33578,2.0549,1.5058
"2018-01-27 16:00:00",1369,36.33568,2.0549,1.506217
"2018-01-27 17:00:00",1370,36.33565,2.0549,1.506383
"2018-01-27 18:00:00",1371,36.33553,2.0549,1.506967
"2018-01-27 19:00:00",1372,36.33543,2.0549,1.507317
"2018-01-27 20:00:00",1373,36.33543,2.0549,1.50745
"2018-01-27 21:00:00",1374,36.27842,2.0539,1.507433
"2018-01-27 22:00:00",1375,36.26668,2.0537,1.508683
"2018-01-27 23:00:00",1376,36.27826,2.0539,1.507983
"2018-01-28 00:00:00",1377,36.2667,2.0537,1.508617
"2018-01-28 01:00:00",1378,36.2665,2.0537,1.50935
"2018-01-28 02:00:00",1379,36.26648,2.0537,1.509567
"2018-01-28 03:00:00",1380,36.26628,2.0537,1.5102
"2018-01-28 04:00:00",1381,36.26654,2.0537,1.509333
"2018-01-28 05:00:00",1382,36.26652,2.0537,1.509433
"2018-01-28 06:00:00",1383,36.26625,2.0537,1.510433
"2018-01-28 07:00:00",1384,36.26622,2.0537,1.510517
"2018-01-28 08:00:00",1385,36.26616,2.0537,1.510717
"2018-01-28 09:00:00",1386,36.26595,2.0537,1.511533
"2018-01-28 10:00:00",1387,36.26598,2.0537,1.511333
"2018-01-28 11:00:00",1388,36.26591,2.0537,1.511683
"2018-01-28 12:00:00",1389,36.26558,2.0537,1.51285
"2018-01-28 13:00:00",1390,36.26569,2.0537,1.512533
"2018-01-28 14:00:00",1391,36.26563,2.0537,1.512567
"2018-01-28 15:00:00",1392,36.26553,2.0537,1.513067
"2018-01-28 16:00:00",1393,36.26545,2.0537,1.5133
"2018-01-28 17:00:00",1394,36.26542,2.0537,1.513417
"2018-01-28 18:00:00",1395,36.26528,2.0537,1.513934
"2018-01-28 19:00:00",1396,36.26515,2.0537,1.514433
"2018-01-28 20:00:00",1397,36.2651,2.0537,1.51455
"2018-01-28 21:00:00",1398,36.26505,2.0537,1.51475
"2018-01-28 22:00:00",1399,36.2649,2.0537,1.515217
"2018-01-28 23:00:00",1400,36.26498,2.0537,1.51505
"2018-01-29 00:00:00",1401,36.2648,2.0537,1.515567
"2018-01-29 01:00:00",1402,36.26465,2.0537,1.516167
"2018-01-29 02:00:00",1403,36.26465,2.0537,1.516133
"2018-01-29 03:00:00",1404,36.26462,2.0537,1.516283
"2018-01-29 04:00:00",1405,36.26455,2.0537,1.5165
"2018-01-29 05:00:00",1406,36.26453,2.0537,1.516517
"2018-01-29 06:00:00",1407,36.26447,2.0537,1.516767
"2018-01-29 07:00:00",1408,36.26451,2.0537,1.51665
"2018-01-29 08:00:00",1409,36.26445,2.0537,1.51685
"2018-01-29 09:00:00",1410,36.26433,2.0537,1.5173
"2018-01-29 10:00:00",1411,36.26432,2.0537,1.51725
"2018-01-29 11:00:00",1412,36.26424,2.0537,1.517567
"2018-01-29 12:00:00",1413,36.26429,2.0537,1.5174
"2018-01-29 13:00:00",1414,36.26422,2.0537,1.517617
"2018-01-29 14:00:00",1415,36.26408,2.0537,1.518033
"2018-01-29 15:00:00",1416,36.2642,2.0537,1.517667
"2018-01-29 16:00:00",1417,36.26402,2.0537,1.5182
"2018-01-29 17:00:00",1418,36.2638,2.0537,1.518917
"2018-01-29 18:00:00",1419,36.26371,2.0537,1.519167
"2018-01-29 19:00:00",1420,36.26352,2.0537,1.51985
"2018-01-29 20:00:00",1421,36.26348,2.0537,1.51995
"2018-01-29 21:00:00",1422,36.26348,2.0537,1.51995
"2018-01-29 22:00:00",1423,36.26348,2.0537,1.519917
"2018-01-29 23:00:00",1424,36.26348,2.0537,1.519983
"2018-01-30 00:00:00",1425,36.24048,2.053333,1.520467
"2018-01-30 01:00:00",1426,36.19498,2.0526,1.519933
"2018-01-30 02:00:00",1427,36.19499,2.0526,1.519867
"2018-01-30 03:00:00",1428,36.19506,2.0526,1.51965
"2018-01-30 04:00:00",1429,36.19518,2.0526,1.51935
"2018-01-30 05:00:00",1430,36.19535,2.0526,1.5188
"2018-01-30 06:00:00",1431,36.19551,2.0526,1.51835
"2018-01-30 07:00:00",1432,36.19565,2.0526,1.517817
"2018-01-30 08:00:00",1433,36.12709,2.0515,1.518217
"2018-01-30 09:00:00",1434,36.12741,2.0515,1.517133
"2018-01-30 10:00:00",1435,36.12745,2.0515,1.5171
"2018-01-30 11:00:00",1436,36.1276,2.0515,1.516633
"2018-01-30 12:00:00",1437,36.12775,2.0515,1.51615
"2018-01-30 13:00:00",1438,36.12785,2.0515,1.5158
"2018-01-30 14:00:00",1439,36.12765,2.0515,1.516533
"2018-01-30 15:00:00",1440,36.09348,2.0509,1.516333
"2018-01-30 16:00:00",1441,36.05906,2.0503,1.517083
"2018-01-30 17:00:00",1442,36.05894,2.0503,1.517467
"2018-01-30 18:00:00",1443,36.05888,2.0503,1.517617
"2018-01-30 19:00:00",1444,36.05886,2.0503,1.517683
"2018-01-30 20:00:00",1445,36.05891,2.0503,1.5175
"2018-01-30 21:00:00",1446,36.05888,2.0503,1.51755
"2018-01-30 22:00:00",1447,36.05878,2.0503,1.517867
"2018-01-30 23:00:00",1448,36.05867,2.0503,1.518167
"2018-01-31 00:00:00",1449,36.05899,2.0503,1.517383
